title,rate,people,author
经济学原理（上下）,9.1,(11283人评价),作者:[美]曼昆
十万个为什么,9.1,(9114人评价),出版社:少年儿童出版社
象棋的故事,9.0,(5276人评价),作者:[奥]斯台芬·茨威格
沉默的大多数,9.0,(11155人评价),作者:王小波
嫌疑人X的献身,9.0,(38908人评价),作者:（日）东野圭吾
全本新注聊斋志异（全三册）,9.1,(2890人评价),作者:[清]蒲松龄著/朱其铠等校注
楚辞,9.1,(2531人评价),作者:屈原
2001太空漫游,9.1,(3901人评价),作者:[英]阿瑟·克拉克
你一生的故事,9.0,(6237人评价),作者:[美]特德·蒋
你看起来好像很好吃,9.1,(6590人评价),作者:宫西达也
三毛流浪记（全集）,9.1,(2422人评价),作者:张乐平
三毛从军记全集,9.0,(3931人评价),作者:张乐平
金色梦乡,9.0,(11861人评价),作者:[日]伊坂幸太郎
寻路中国,9.0,(30750人评价),作者:[美]彼得·海斯勒
规训与惩罚,9.1,(3397人评价),作者:[法]米歇尔·福柯
刀锋,9.0,(27384人评价),作者:[英]毛姆
父亲的战场,8.9,(1314人评价),作者:章东磐
海伯利安,9.0,(3877人评价),作者:[美]丹·西蒙斯
大师和玛格丽特,9.0,(2705人评价),作者:[俄]布尔加科夫
我也有一个梦想,9.0,(10963人评价),作者:林达
人间词话,9.0,(15702人评价),作者:王国维
圣经,9.0,(13245人评价),出版社:中国基督教协会
传统十论,9.1,(2040人评价),作者:秦晖
受戒,9.3,(1719人评价),作者:汪曾祺
巨人的陨落,8.9,(32688人评价),作者:[英]肯·福莱特
江村经济,9.0,(1272人评价),作者:费孝通
麒麟之与子同袍,9.4,(3337人评价),作者:桔子樹
快乐王子,9.1,(1224人评价),作者:(英)王尔德
羊道·深山夏牧场,9.1,(1537人评价),作者:李娟
安娜·卡列尼娜,9.2,(2593人评价),作者:[俄]列夫·托尔斯泰
羊道·前山夏牧场,9.1,(1513人评价),作者:李娟
英语魔法师之语法俱乐部,9.5,(1968人评价),作者:旋元佑
编码的奥秘,9.3,(1245人评价),作者:CharlesPetzold
天人五衰,9.0,(1528人评价),作者:(日)三岛由纪夫
霸王别姬,9.2,(1865人评价),作者:李碧华
给青年诗人的信,9.1,(1223人评价),作者:[奥]莱内·马利亚·里尔克
JavaScript语言精粹,9.1,(1571人评价),作者:DouglasCrockford
芥川龙之介全集,9.3,(1248人评价),作者:[日]芥川龙之介
集体智慧编程,9.0,(1295人评价),作者:TOBYSEGARAN
棋王.樹王.孩子王,9.1,(3306人评价),作者:阿城
电影是什么？,9.0,(1365人评价),作者:（法）安德烈·巴赞
正红旗下,9.2,(1578人评价),作者:老舍
我想去看海,9.1,(1394人评价),作者:(法)克利斯提昂.约里波瓦/文/(法)克利斯提昂.艾利施/图
香初上舞·终上,9.0,(4164人评价),作者:藤萍
香初上舞·再上,9.0,(3825人评价),作者:藤萍
美语音标,9.6,(1780人评价),作者:赖世雄
人生的枷锁,9.0,(2485人评价),作者:[英]毛姆
金庸全集,9.6,(2329人评价),作者:金庸
毛泽东选集第一卷,9.2,(2768人评价),作者:毛泽东
庄子今注今译（全三册）,9.3,(1459人评价),作者:陈鼓应注译
庄子諵譁（下）,9.1,(1081人评价),作者:南怀瑾
故事新编,9.2,(3272人评价),作者:鲁迅
汪曾祺小说经典,9.3,(1617人评价),作者:汪曾祺
鸟哥的Linux私房菜,9.1,(2343人评价),作者:鸟哥
亲爱的提奥,9.1,(1666人评价),作者:[荷]文森特·凡高
夏宇詩集／腹語術,9.1,(1439人评价),作者:夏宇
海子诗全集,9.2,(6762人评价),作者:海子著/西川编
约翰·克利斯朵夫（共四册）,9.1,(2366人评价),作者:罗曼·罗兰
牡丹亭,9.1,(1659人评价),作者:（明）汤显祖著；徐朔方，杨笑杨校注
历史研究,9.1,(1380人评价),作者:（英）阿诺德・汤因比
德米安,9.0,(6815人评价),作者:[德]赫尔曼·黑塞
雕刻时光,9.0,(3962人评价),作者:[苏]安德烈·塔可夫斯基
改变心理学的40项研究,9.3,(1517人评价),作者:罗杰•霍克(RogerR.Hock)
死屋手记,9.1,(1297人评价),作者:[俄]陀思妥耶夫斯基
纪伯伦诗集,9.1,(1625人评价),"作者:（黎巴嫩）纪·哈·纪伯伦（Gibran,K.）"
沙与沫,9.1,(1200人评价),作者:卡里・纪伯伦/廖欣
被淹没和被拯救的,9.2,(1634人评价),作者:[意]普里莫·莱维
海风中失落的血色馈赠,9.1,(2448人评价),作者:[加拿大]阿利斯泰尔·麦克劳德
切尔诺贝利的悲鸣,9.1,(3123人评价),作者:S.A.阿列克谢耶维奇
极简宇宙史,9.1,(3408人评价),作者:[法]克里斯托弗·加尔法德
追忆似水年华,9.1,(1510人评价),作者:[法]马塞尔·普鲁斯特
我们时代的神经症人格,9.0,(1655人评价),作者:卡伦·霍尼
活着为了讲述,9.0,(3066人评价),作者:[哥伦比亚]加西亚·马尔克斯
二手时间,8.8,(6182人评价),作者:[白俄]S.A.阿列克谢耶维奇
心经,9.6,(1255人评价),作者:本书编委会
毛毛,9.1,(1191人评价),作者:米切尔·恩德
银河英雄传说,9.4,(1301人评价),作者:田中芳树
受戒,9.1,(2039人评价),作者:汪曾祺
局外人,9.0,(2832人评价),作者:(法)阿尔贝·加缪
霸王别姬,9.1,(3140人评价),作者:李碧华
一个叫欧维的男人决定去死,9.1,(9077人评价),作者:[瑞典]弗雷德里克·巴克曼
记忆与印象,9.1,(1145人评价),作者:史铁生
新月集·飞鸟集,9.1,(1090人评价),作者:(印度)泰戈尔
乱世佳人(上、下),9.4,(5549人评价),作者:（美）玛格丽特・米切尔
温柔的夜,9.1,(6396人评价),作者:三毛
